Tip,Model,Plaka,Sürücü,Birim,Poliçe Bitiş (YYYY-MM-DD)
Otomobil,Volkswagen Golf,34 ZAP 901,Kerem Çelik,Pazarlama,2026-05-10
SUV,Peugeot 3008,06 AZO 567,Nilay Yılmaz,Satış,2027-01-20
Kamyonet,Ford Transit,35 BEF 432,Onur Kılıç,Lojistik,2025-11-05
Otomobil,Fiat Egea,42 CIL 876,Pınar Kaya,Merkez,2026-09-15
Ticari,Renault Kangoo,16 DUI 210,Rıza Öztürk,Teknik Servis,2027-04-01
SUV,Nissan Qashqai,54 ETE 654,Selin Demir,Yönetim,2025-12-24
Otomobil,Opel Corsa,34 FIR 321,Taner Akın,Finans,2026-07-18
Otomobil,Toyota Corolla,06 GRM 987,Ufuk Şahin,Satış,2027-03-09
SUV,Dacia Duster,35 HEK 109,Vildan Can,Pazarlama,2025-10-27
Kamyonet,Fiat Fiorino,42 IST 543,Yaman Erol,Lojistik,2026-08-03
Otomobil,Honda Civic,16 JAP 765,Zeynep Kurt,Merkez,2027-05-16
Ticari,Peugeot Partner,54 KAN 098,Ahmet Güneş,Teknik Servis,2025-11-20
Otomobil,Hyundai i10,34 LAV 456,Burcu Yıldız,Finans,2026-06-29
SUV,Audi Q3,06 MIR 789,Cemal Ak,Yönetim,2027-02-14
Kamyonet,Mercedes Sprinter,35 NAR 123,Deniz Demirci,Lojistik,2025-10-01
Otomobil,Skoda Octavia,42 OTA 678,Ece Kara,Satış,2026-08-25
Ticari,Citroen Berlingo,16 PAL 901,Fırat Menteş,Teknik Servis,2027-03-31
SUV,BMW X1,54 PIN 234,Gizem Sönmez,Merkez,2025-12-07
Otomobil,Ford Fiesta,34 REN 567,Hakan Tura,Pazarlama,2026-05-22
Otomobil,Renault Megane,06 RUM 890,İrem Çetin,Satış,2027-01-11
Kamyonet,Volkswagen Caddy,35 SAR 112,Jale Yılmaz,Lojistik,2025-11-17
SUV,Kia Sportage,42 SER 445,Kemal Aydın,Finans,2026-10-06
Otomobil,Mercedes A Serisi,16 SIM 778,Lale Koç,Yönetim,2027-04-25
Ticari,Ford Connect,54 TAR 001,Mert Öz,Teknik Servis,2025-09-30
Otomobil,Hyundai Elantra,34 TUR 334,Nehir Akın,Satış,2026-06-03
SUV,Land Rover Evoque,06 ULU 667,Ozan Bilge,Yönetim,2027-02-28
Kamyonet,Isuzu D-Max,35 UMU 990,Pınar Demir,Lojistik,2025-12-12
Otomobil,Seat Ibiza,42 VAD 223,Rıza Güneş,Merkez,2026-07-07
Ticari,Opel Combo,16 VAR 556,Serdar Kale,Pazarlama,2027-03-05
Otomobil,Mazda 3,54 YAL 889,Tuğçe Ersoy,Finans,2025-10-15
SUV,Volvo XC60,34 YAZ 112,Uğur Kaya,Satış,2026-05-01
Kamyonet,Toyota Hilux,06 ZER 445,Volkan Çelik,Lojistik,2027-01-29
Otomobil,Subaru Impreza,35 ZEY 778,Yasemin Sönmez,Merkez,2025-11-09
Ticari,Volkswagen Transporter,42 ZOR 001,Zafer Kılıç,Teknik Servis,2026-09-20
Otomobil,Alfa Romeo Giulia,16 ATE 334,Ali Duman,Yönetim,2027-04-14
SUV,Jeep Compass,54 BAG 667,Berna Işık,Finans,2025-12-01
Otomobil,Citroen C4,34 CAN 990,Can Şahin,Pazarlama,2026-06-19
SUV,Mitsubishi ASX,06 DEM 223,Derya Mert,Satış,2027-03-27
Kamyonet,Nissan Navara,35 EFE 556,Emre Tunç,Lojistik,2025-10-05
Otomobil,Kia Ceed,42 GÜL 889,Fulya Özen,Merkez,2026-08-08
Ticari,Fiat Ducato,16 HAK 112,Gökhan Bilgiç,Teknik Servis,2027-05-25
Otomobil,Cupra Leon,54 İZM 445,Hande Göksu,Yönetim,2025-11-14
SUV,Porsche Macan,34 KAS 778,İbrahim Koçak,Finans,2026-07-28
Otomobil,BMW 5 Serisi,06 LEV 001,Jülide Çam,Satış,2027-01-04
Kamyonet,Renault Master,35 MAR 334,Kamil Erdem,Lojistik,2025-10-19
